SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA19065,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239596/NA19065.final.cram,725315270,JPT,e4ccbdfcbe7cee7c02ccb6f6fbd6e0b9
NA19070,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239600/NA19070.final.cram,736700666,JPT,a3f934a848273ccd4bb40b345de3d41e
NA19082,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239610/NA19082.final.cram,700733920,JPT,df551992ee2d9690a909f574b6755af1
NA19083,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239611/NA19083.final.cram,676802848,JPT,a1b472e86f9f4f8cfaabd3729ef8d02b
NA19780,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239950/NA19780.final.cram,729445862,MXL,b7a6f6c63ae4fa2db8ca4674fe09c230
NA19782,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239951/NA19782.final.cram,716571824,MXL,c8255ac088111e657c8fd9a999003d2d
NA19786,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239954/NA19786.final.cram,730056860,MXL,f4c8c81d63f87cb769aef7cf1dd53d59
NA19788,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239955/NA19788.final.cram,718650802,MXL,6bfb47dc0e2867affb3a732953b6a5f7
NA19795,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239958/NA19795.final.cram,735854970,MXL,640014bf73e8b9739364532ffc620f19
NA19900,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239963/NA19900.final.cram,752550484,ASW,629c5092dbfedecdeccdfa4344f29927
