SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA12718,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239480/NA12718.final.cram,753247448,CEU,923ca8ff7d4cd65fddd28e855e5f173d
NA12775,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239482/NA12775.final.cram,749854730,CEU,619a0f7c3ca340949c11bb75ec5bbf71
NA12843,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239488/NA12843.final.cram,695697066,CEU,091e5e1a7526f35aa7e235529dc5245a
NA18548,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239498/NA18548.final.cram,745425602,CHB,ad6c139b6e0a618fe69369a681688961
NA20759,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239839/NA20759.final.cram,813646292,TSI,3607715f2dff0413bb3d42aec45f5f86
HG00451,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240189/HG00451.final.cram,761149440,CHS,3b5c86f4e01b4e2a641c8e5784047156
NA18602,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239506/NA18602.final.cram,677541716,CHB,404b1fe89e50774a27aa5628c787657c
NA18613,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239511/NA18613.final.cram,750243348,CHB,a4316d67634ace076c982d2efe1e08ff
HG00260,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240217/HG00260.final.cram,685854752,GBR,78139ab73afee54456d3e95c28bfb6e8
HG00262,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240219/HG00262.final.cram,705085162,GBR,2498c13287d6a7bf3b65529415295165
HG00265,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240222/HG00265.final.cram,790550368,GBR,c335638156a5cf1e0db8b94493852a90
NA18635,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239531/NA18635.final.cram,777958316,CHB,b3d7b4f2c14c4a263b00307c90341a19
HG00313,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240234/HG00313.final.cram,812605638,FIN,069343c96e5c9f7bc20fbfb5e259c835
