SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA12748,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239481/NA12748.final.cram,763302282,CEU,52bd4d12eaf896daf88990b98a911c27
NA12777,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239483/NA12777.final.cram,753668570,CEU,2c27484e2b978a819a98db66af7b3863
NA12889,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239489/NA12889.final.cram,929340946,CEU,8a296693b8cc751be93f2f2ead749dd0
NA18536,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239494/NA18536.final.cram,689236104,CHB,a0bc7d29d32dac5314048cb74180dbda
NA20763,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239843/NA20763.final.cram,875163584,TSI,2f9e05c26286e1c48018f12049b55bcf
NA20766,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239846/NA20766.final.cram,705847206,TSI,750073b67d68f252a72f400485a362c4
NA20768,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239848/NA20768.final.cram,697623834,TSI,9563d21fe547e1f7e338aa0a63679f9c
HG00446,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240186/HG00446.final.cram,752589004,CHS,214359efe0018f6cd73714c30ff45dbb
HG00125,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240198/HG00125.final.cram,662827648,GBR,4884ae163df838a4d1b32264067f1274
HG00236,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240203/HG00236.final.cram,874684290,GBR,fb4bcd907fee337378436633632f7a82
HG00237,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240204/HG00237.final.cram,737556428,GBR,7bd61f9fb704143a980498b9af0dda7b
NA18606,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239507/NA18606.final.cram,929326520,CHB,09768c9b05c74eaafb00ac3576e9aba0
NA18610,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239508/NA18610.final.cram,716954836,CHB,db1c18139aa066fa58f1da1ebb2e0b9e
NA18616,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239513/NA18616.final.cram,727011284,CHB,146c69f7f21c64dad0e1327eaf01c57f
NA18618,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239515/NA18618.final.cram,798413678,CHB,1a59dd2236c35299fadb166164d26337
NA18621,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239518/NA18621.final.cram,702592286,CHB,aef902b502f50f962da9a6ef4a0f26a3
NA18624,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239521/NA18624.final.cram,705788246,CHB,b12405cc9d9933fe1d39bacb9676e4d8
NA20778,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239856/NA20778.final.cram,788651058,TSI,f0e4a3a695e91ad080f3e9d5ed46f476
