SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA12842,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239487/NA12842.final.cram,729859386,CEU,17471b1faa71859657f4d7ec117b3654
NA20757,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239837/NA20757.final.cram,778299830,TSI,c6854fe78918500446f506e76a647e74
NA20760,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239840/NA20760.final.cram,752445674,TSI,6cf28e0871146fd1b181ac68f4f80724
NA20765,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239845/NA20765.final.cram,683205582,TSI,fdd7eb7d420b40b918776cbc6a50155e
NA20770,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239850/NA20770.final.cram,760980252,TSI,cba56c19dc5ad8799ca7cb25989c2aa0
NA20773,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239853/NA20773.final.cram,737424186,TSI,2514c423bfd1612580425e28076ae24d
HG00232,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240202/HG00232.final.cram,1267169102,GBR,a9075357d9cde7d93e961d483d937e93
NA18617,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239514/NA18617.final.cram,737173310,CHB,acb370ed7b723eda8f01b75967ff2e78
NA18620,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239517/NA18620.final.cram,803821210,CHB,4fcadc67678b676397e7ca48e9414386
NA18626,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239523/NA18626.final.cram,826805274,CHB,6fe18501eb7e8ce0e98f3185cce0f0ec
HG00257,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240214/HG00257.final.cram,781428816,GBR,bb6f4dade7d8cf16c48321ccfd6bb95b
HG00266,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240223/HG00266.final.cram,732782248,FIN,4fce85b9cc8580ecce38f123a870d539
NA18647,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239540/NA18647.final.cram,749979990,CHB,edb8a7ed0dcb6752bd18bc6c0f4ad4bc
NA18740,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239541/NA18740.final.cram,753040422,CHB,5782857a3a0d06b4b0de1c6068c617e8
NA18747,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239543/NA18747.final.cram,742649732,CHB,9fe61d0f85522e2202a0fa92721b233d
NA20827,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239889/NA20827.final.cram,918968788,TSI,ba42bedde3eac44031b91ccf6c03ed2d
NA19651,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239896/NA19651.final.cram,704148732,MXL,66c732ba2ca65f0a197303ff9946f5bd
NA18908,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239550/NA18908.final.cram,765250890,YRI,cab5935df8762f89d68e978bc2eb8cf5
NA18917,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239552/NA18917.final.cram,746671118,YRI,1aba3215ab1f2b57f7414c8f20b07e6a
NA18966,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239564/NA18966.final.cram,798238582,JPT,07080215519449ef9c93d3f789a3d3f0
NA19654,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239898/NA19654.final.cram,728476360,MXL,096c6989d103030263ee3c2ae8867c52
NA19700,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239913/NA19700.final.cram,744943548,ASW,26b9fdfd02c239bc043d4578bf52c98b
NA19712,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239919/NA19712.final.cram,703593272,ASW,fa4d8e7e824b0214e3d55a971f2ac670
HG00345,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240251/HG00345.final.cram,740823146,FIN,b52ab11d47a2480df3754a3450bee44a
HG00351,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240255/HG00351.final.cram,669901866,FIN,d5f09a59e48d1872690514370ed557a9
HG00353,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240256/HG00353.final.cram,735072184,FIN,6732c5cb55de93f9c8651c063bdf7872
HG00355,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240257/HG00355.final.cram,1066459310,FIN,55b8bb89feb81a829cac7c8e0b68bc8b
HG00356,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240258/HG00356.final.cram,748814270,FIN,f375defb2e46bcfff056f735050d5de1
HG00361,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240262/HG00361.final.cram,734502652,FIN,a8f41ae2d4adb19abcef84964179aae1
NA19001,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239579/NA19001.final.cram,741459358,JPT,3c397f02e4722131a8e8ceb554faca99
NA19003,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239581/NA19003.final.cram,704392482,JPT,4b9e8170622cb659b71b2e5408b21e76
NA19054,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239586/NA19054.final.cram,733697738,JPT,37bd22e701a3768a998282c0bea58b1c
NA19720,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239924/NA19720.final.cram,814600544,MXL,b86a32cc737146cc51e634dced3f7898
NA19060,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239592/NA19060.final.cram,775190190,JPT,7f512892ef2dfafa43f6ba1c006dc476
NA19063,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239594/NA19063.final.cram,895922596,JPT,e1d18d40172497a558e68f7e13ab602b
NA19064,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239595/NA19064.final.cram,790023666,JPT,ff6a4c4933c1a3d52c7785bdd5679d25
NA19773,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239945/NA19773.final.cram,705078220,MXL,7c2f136d889eacbf40963495fdc72b3c
NA19777,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239948/NA19777.final.cram,753955252,MXL,5337573d3f0369bd8878894230e1dc91
NA06986,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239277/NA06986.final.cram,727874616,CEU,09b26dac0e1f1d338c559260e9098748
NA19086,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239614/NA19086.final.cram,760301852,JPT,418ec2ee307671a39f803edc45a1c5dd
NA19189,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239631/NA19189.final.cram,667918502,YRI,0ec69564ecd2061e08608b846c4cd9aa
NA19197,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239632/NA19197.final.cram,761380554,YRI,5b6aa66b8a8eaf1d90975e8e537b297c
