SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA18488,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239491/NA18488.final.cram,720104180,YRI,9af166a1b24832fc3f490862be5482d1
NA18543,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239495/NA18543.final.cram,744454662,CHB,20bd24483042a07eceb27c815bbcd829
HG00452,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240190/HG00452.final.cram,716215024,CHS,c5f45c3402011883e2dc1bb57bd75cfc
HG00121,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240195/HG00121.final.cram,755575332,GBR,c499d569b5c7a0e22964d3078f8ce3b8
NA18597,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239504/NA18597.final.cram,695362762,CHB,df406f66202c6aa6cb60784d8c29348e
NA18599,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239505/NA18599.final.cram,837922332,CHB,df45dd474bc4c56c6b67c3179bab0371
NA20774,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239854/NA20774.final.cram,767528776,TSI,b3d68dd487464317aa42df0685fb25f3
HG00242,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240206/HG00242.final.cram,911499316,GBR,a7473804c49bd4f2c66bab5bd6004530
HG00253,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240211/HG00253.final.cram,821530812,GBR,7751cd11fa9bb84f6f09a9387527c895
HG00254,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240212/HG00254.final.cram,776488614,GBR,ce0818af94ddef1eaaa023d1afc80ac7
