SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA18544,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239496/NA18544.final.cram,731634284,CHB,7dafa601311b53abf7eed18ec0ab9aa2
NA18546,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239497/NA18546.final.cram,718652394,CHB,042c096211b182e35d23340fd8040d14
NA20764,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239844/NA20764.final.cram,733908642,TSI,40df799356e54a9e51cfbeedcadd6d59
HG00445,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240185/HG00445.final.cram,820553524,CHS,c6ff85a8086fbfab1ad52d6c5bf10841
HG00463,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240191/HG00463.final.cram,746769468,CHS,f4e551d558d8515089b8063badcd24e1
HG00464,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240192/HG00464.final.cram,766637202,CHS,c52514fc7847caea7f12e32d5bd02220
NA18623,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239520/NA18623.final.cram,751651770,CHB,b6a1cbb6d1412c7d9bd82e1723d232fe
NA20798,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239866/NA20798.final.cram,695287056,TSI,7752110b5d9c0661f3ab5c896854aa50
NA18632,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239528/NA18632.final.cram,735483830,CHB,b974e3aae5cf2d7407f7a3fc727531de
NA20828,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239890/NA20828.final.cram,754544398,TSI,440c9e91c73a99a3128579dd1b348acd
HG00343,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240249/HG00343.final.cram,721087828,FIN,7745004ed551a65e9759f02629438985
NA18757,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239546/NA18757.final.cram,682076498,CHB,ac529aa2c08499522fc85ae01aad03eb
NA18873,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239549/NA18873.final.cram,736311044,YRI,1cb961f72df15499768db822d46dabfb
NA18939,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239557/NA18939.final.cram,722484412,JPT,836d4516fac9bea99ff992300ea8ec42
NA19664,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239904/NA19664.final.cram,686113802,MXL,15ad0116bf46c8448e118fa492d2896a
NA19669,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239905/NA19669.final.cram,717187440,MXL,24c5e7e6fd9ce028addde8b78ffc5617
NA19670,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239906/NA19670.final.cram,766543332,MXL,bd98e8f0f02f59e0b566abf322121452
HG00350,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240254/HG00350.final.cram,1063913008,FIN,26c14bce2fd46c816748d78df7d614ee
HG00365,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240265/HG00365.final.cram,743268858,FIN,afd208406b10fc73a47be986f3b506c1
NA18992,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239571/NA18992.final.cram,696705152,JPT,5326dbf552e5b878e1f28a5b5c8bda99
NA19723,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239926/NA19723.final.cram,742043686,MXL,6ac74820a0661b7bf883aa1c914cdafe
NA19058,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239590/NA19058.final.cram,736191652,JPT,9b59f5427614e716b64d8da15915be18
NA19074,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239602/NA19074.final.cram,754549944,JPT,a13e784323850ff83ed135c7329cdb69
NA19075,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239603/NA19075.final.cram,758656546,JPT,f3ffb9aefe92a1e346a45a68a4130838
NA19078,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239606/NA19078.final.cram,799344074,JPT,ee7d12c8fe4ed2377f10c1999a01af5d
NA19771,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239944/NA19771.final.cram,682570324,MXL,60ad5a0c5ba088e4040d3a7c57948315
NA19794,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239957/NA19794.final.cram,832314074,MXL,2030d575ec1cf59b0e83089cc11252d7
NA19085,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239613/NA19085.final.cram,668974128,JPT,2377ae86b71ba8ebc2d307ac3d2ad5aa
NA19096,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239619/NA19096.final.cram,758557104,YRI,8e8279a2c946e76a47efa370e8d61610
NA19130,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239625/NA19130.final.cram,744945540,YRI,a49ce703755311c01d0e9109c89f862f
NA19916,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239969/NA19916.final.cram,936931088,ASW,e1fe15d9ffeb6866297dbeea18921f6a
NA20276,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239976/NA20276.final.cram,705835200,ASW,8d632839e89e630a3fcbbf8ef3d5f031
NA07357,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239283/NA07357.final.cram,689138062,CEU,95ec238f9872c128e7b9a93ac27ee7f3
