SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA20752,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239832/NA20752.final.cram,728872364,TSI,741cfaa31b75a90b5e5ac5d200a31233
NA20758,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239838/NA20758.final.cram,700440604,TSI,665085d3c686c6713baf095a8f10c9bf
NA20762,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239842/NA20762.final.cram,1187817750,TSI,2081047270e751782ccfdc1fe9be513d
NA20767,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239847/NA20767.final.cram,707415828,TSI,fca39f7b338acb6a6deb8b42e6dd8058
NA20771,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239851/NA20771.final.cram,846112258,TSI,92ede3002b19d888c3a6f1b100070d19
HG00119,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240194/HG00119.final.cram,785133578,GBR,9574c34931ba9906de0acd65665e7a8b
NA20786,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239859/NA20786.final.cram,757904504,TSI,4d9652054430f08116c3dcea015ae483
NA20800,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239868/NA20800.final.cram,802981524,TSI,90300e03406778e9884671ee8951320d
NA20806,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239874/NA20806.final.cram,793209384,TSI,92533e271dc4d1e165e60df986959aeb
HG00245,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240209/HG00245.final.cram,973185888,GBR,f85cae75a8477809c9c1a6e49be98cb1
HG00264,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240221/HG00264.final.cram,754369304,GBR,b5a37d12f10651ee20e40c910dce0944
HG00267,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240224/HG00267.final.cram,759351216,FIN,7f2ac7a134fae616b38afd403acb3054
NA18636,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239532/NA18636.final.cram,814338878,CHB,a1fdc51c257e76a9f85b81894fb84373
NA18641,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239536/NA18641.final.cram,767007274,CHB,c525782adbf92690581f7068c4036b27
NA20826,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239888/NA20826.final.cram,839814534,TSI,a14822d4134b39e598d42994d37718fd
HG00308,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240231/HG00308.final.cram,699115328,FIN,623f8facb2199dc334d776697c012b6b
HG00321,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240239/HG00321.final.cram,1243645584,FIN,ed8b8d47ba64fa47d4a132a7e92e4e41
HG00335,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240243/HG00335.final.cram,712428856,FIN,0dfe1ec5e21191be7db9a9959a080f9d
HG00338,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240246/HG00338.final.cram,785916448,FIN,b4daa95cf2b1d95f0ae9131a1515448b
NA18963,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239563/NA18963.final.cram,736795490,JPT,fb73546a0f973b23aef198269afb5329
NA18977,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239565/NA18977.final.cram,731024204,JPT,75632c2ca7db60ffe17645e3d7a94075
NA19661,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239902/NA19661.final.cram,720673992,MXL,17e157b56eb82f187ce71c5686e9f8c2
NA19663,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239903/NA19663.final.cram,674625166,MXL,088f6d43a20f51c17b92deb4730923f2
HG00362,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240263/HG00362.final.cram,767582150,FIN,8b020db900d3ad7d76a5b48ca3d9e3f7
HG00366,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240266/HG00366.final.cram,651187002,FIN,937f98a99a05fc943ef98ce8d703e7e0
HG00368,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240268/HG00368.final.cram,729739420,FIN,dff9821109ed42aeb6a65f59c4efde26
HG00369,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240269/HG00369.final.cram,1028974028,FIN,597e570fb515e70ed4f8ae81250245cc
HG00372,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240271/HG00372.final.cram,727780450,FIN,f21f79a4731c6c1ecc2a887a258834c3
NA18993,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239572/NA18993.final.cram,741026912,JPT,db4a4a1c2008a2ab6483fcfa0a8e54b6
NA19725,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239927/NA19725.final.cram,692768984,MXL,6d9cf0c1e37cd06ff9bc886ed1065a12
NA19756,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239938/NA19756.final.cram,712769794,MXL,9a1ef7dc294d79c36ba4d32fbec246d9
NA19067,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239598/NA19067.final.cram,745633870,JPT,4536ba892fa94d78d4ac7759f17c4408
NA19077,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239605/NA19077.final.cram,750455628,JPT,5cc9a143468fa4ed5a0e161768ff7da5
NA19762,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239942/NA19762.final.cram,963710754,MXL,0acfbbb8890679ee3b8a908085e2aca9
NA19770,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239943/NA19770.final.cram,731790746,MXL,07ad34b6753ada53ea6927772f73237e
NA19785,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239953/NA19785.final.cram,731247396,MXL,f40f93b1bb64ab4a44cbbdca5d6ab0e4
NA19092,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239617/NA19092.final.cram,792711088,YRI,b98f73432ba48b8f1ecf3e514249ad8b
NA19117,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239622/NA19117.final.cram,696604808,YRI,4cef7a3342aae209700dad0d5629a692
NA20850,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240001/NA20850.final.cram,1053257412,GIH,ac7433e99954e95de078517a9be00bc6
NA12749,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239318/NA12749.final.cram,701555382,CEU,30acb369add74a0edbeac423b4da7eab
NA18574,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239658/NA18574.final.cram,749045930,CHB,8e5c1f41229568b8743303f9b7c0d889
NA18644,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239661/NA18644.final.cram,983964500,CHB,2d35f670d25da47136b468a4e0eb57d2
NA18950,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239672/NA18950.final.cram,746903446,JPT,72d98a9d2a512c78d60a5a75a3616761
NA20862,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240010/NA20862.final.cram,694143198,GIH,7fdbecb413b9f12a17b103ac2b4ea9f8
NA20876,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240017/NA20876.final.cram,734186800,GIH,b9d12534a7922d85256302cc2cef78b3
NA20891,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240029/NA20891.final.cram,683717208,GIH,6cacc771265f122378bd8335552de0dd
NA18498,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239337/NA18498.final.cram,684627884,YRI,d70c2287aac88152cde89043b45946a8
NA19019,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239684/NA19019.final.cram,798562474,LWK,e01c9115f21a7312df3ffd1bfa520fd1
NA19028,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239691/NA19028.final.cram,725351670,LWK,54fbebd7d5060c6860307c4db443643f
NA18570,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239368/NA18570.final.cram,718906816,CHB,92ad8bc16cb5db7b273ffa0d4c990373
NA19320,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239715/NA19320.final.cram,758657116,LWK,688795e6fd4cc673d8b66ad56c01f30a
NA21097,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240052/NA21097.final.cram,708423050,GIH,a836ea9b3e555701162c303ebaf0f6f4
