SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA12827,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239485/NA12827.final.cram,1071166662,CEU,bf577953d709c5e2ee016aa51e9f70fb
NA12829,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239486/NA12829.final.cram,1166844742,CEU,ed7e00eaefe33280d64ccb5b1394ac04
NA20754,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239834/NA20754.final.cram,773429706,TSI,9e8646bfa1091e89249b73376d47d442
NA20761,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239841/NA20761.final.cram,747176932,TSI,6ab3fad323f3a03943cf9861843424fa
HG00443,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240184/HG00443.final.cram,812240132,CHS,74f61c93f9cc741256a2f3453a3eb353
HG00123,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240197/HG00123.final.cram,722846070,GBR,26ec0f0b6cd05f510720a860e534c4b2
HG00231,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240201/HG00231.final.cram,727092454,GBR,fd0a6ddb7fb020d017766df9995e33cf
NA18611,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239509/NA18611.final.cram,794256766,CHB,57b7683416a216bb74c3f5282abcd6a4
NA18612,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239510/NA18612.final.cram,1039182316,CHB,7532722a4782683a564de07fde1c530e
NA20775,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239855/NA20775.final.cram,796091330,TSI,1d5a2419992dc69e7d40fd42d16910b3
NA20790,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239861/NA20790.final.cram,758718028,TSI,3e1d61d88e49d1e09f1d482b8e0b272e
HG00243,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240207/HG00243.final.cram,903674572,GBR,fdf834b91195082f2f9423633d2dc4d4
HG00261,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240218/HG00261.final.cram,722793342,GBR,db543aaf9019cc150b9cdf7f2c657927
HG00271,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240227/HG00271.final.cram,749506094,FIN,01516380f113ba9270217d1584de29e9
NA18627,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239524/NA18627.final.cram,711216484,CHB,fd3603c3339b48bb9bf68b3562ad673a
NA18637,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239533/NA18637.final.cram,762174152,CHB,e35273fb0250f50a408be2a8ce7c98b2
NA20809,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239877/NA20809.final.cram,750346688,TSI,b63be5956d6ff4f85d676f03987838fe
NA20813,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239881/NA20813.final.cram,766730518,TSI,c5565571f16d7eb7d13a893e32672441
NA20815,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239883/NA20815.final.cram,708713110,TSI,b7e0c0ece2b8b3d0672959b0720b87d1
NA20832,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239891/NA20832.final.cram,750143132,TSI,97d878ead9bafcb379a5c33b78bc5fee
HG00320,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240238/HG00320.final.cram,882869080,FIN,9973698b1a9ed85f9b312d27a8e666ae
NA18924,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239554/NA18924.final.cram,768821390,YRI,19e476370e9e4bf41ef76f6865ce78f1
NA18933,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239555/NA18933.final.cram,697157140,YRI,993372dc77ab442e7630b6b35bb71a8a
NA19681,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239910/NA19681.final.cram,677515724,MXL,69dddb05c134699879520dff5dcb6460
NA19711,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239918/NA19711.final.cram,700526594,ASW,4287a659b36fdeb98c023a3f764a5399
NA18995,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239574/NA18995.final.cram,790329744,JPT,23d275f584fbe02e8ade935f77689644
NA19000,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239578/NA19000.final.cram,795138126,JPT,b42ba8cba6f4c969c82f36ca3c0b8426
NA19746,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239933/NA19746.final.cram,772795112,MXL,ad1d0a9eadfb8fcbf6cc0f0bc6039143
NA19755,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239937/NA19755.final.cram,703490752,MXL,e601b1cab502f1844315c4ee9879bffc
NA19072,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239601/NA19072.final.cram,788183854,JPT,0a6c7fce110cdbee8a4424f81b3cdd75
NA19121,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239624/NA19121.final.cram,686711300,YRI,82176c7257397134d19943e470315148
NA19149,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239627/NA19149.final.cram,737754246,YRI,efe0f3588055b936cb49cc3a587d4c9c
NA19198,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239633/NA19198.final.cram,791049172,YRI,54a0d8133a536dd9608484597ef109e8
NA20289,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239981/NA20289.final.cram,822368334,ASW,47e25446a5efb768216ce32d41104022
NA11829,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239286/NA11829.final.cram,821874214,CEU,12b36e1b7424b1d43ded8b992005e1c5
