SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA18530,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239492/NA18530.final.cram,759850438,CHB,cb6aea3f270a33d0f7a08e7c7c0c377e
NA18534,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239493/NA18534.final.cram,694915170,CHB,2c791bc5fb2fdd806e1c6f3f6e6f32e6
NA18549,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239499/NA18549.final.cram,740673768,CHB,a880e721d4ba1d54e722f9fe88173cb6
NA18559,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239501/NA18559.final.cram,810170858,CHB,9d45098e21ffa29bc1597afbb1d9b897
NA20755,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239835/NA20755.final.cram,774667606,TSI,eb84ad476ef2db89d6574188cc9f4ed9
HG00448,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240187/HG00448.final.cram,800256298,CHS,52c62b30d87064e0b708f6d53b2f89dd
HG00118,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240193/HG00118.final.cram,801272652,GBR,24815bd75d76bdc51475b3c076277a18
HG00122,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240196/HG00122.final.cram,784773398,GBR,07781d5a9ff2dfd121656a6da3265e0a
NA18615,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239512/NA18615.final.cram,764142816,CHB,333726903693b3d0aa568aba26735fea
NA18622,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239519/NA18622.final.cram,781871096,CHB,c3d984505ebf143852346abf77e81e47
NA20795,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239863/NA20795.final.cram,760992152,TSI,1c436b16ee1f1d6fa84cb890389f9cde
NA20801,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239869/NA20801.final.cram,761487824,TSI,d353222bda1446d2c56616e6e2e54e15
NA20802,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239870/NA20802.final.cram,718428030,TSI,30080ac96162260a38313fc65af3b10a
NA18634,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239530/NA18634.final.cram,700468726,CHB,4100f7844ebb08637378da6023d8d43e
NA18748,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239544/NA18748.final.cram,827973718,CHB,ea2524400fc94eb6d3bfea17840fb78f
NA20810,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239878/NA20810.final.cram,768155794,TSI,ca69e81cdbbe4891070deb3cc6b0edb9
NA20811,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239879/NA20811.final.cram,775871646,TSI,e1154abcc2251829e70c8bf507d48d56
NA19222,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239892/NA19222.final.cram,764518866,YRI,4ec9df373e77f8f5542a59139d56ae12
NA19625,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239893/NA19625.final.cram,755077300,ASW,c335d4f09126998c8b50f6dd567edc37
HG00311,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240233/HG00311.final.cram,735600108,FIN,1b73dbfa06609e41a348d2ae1024bf5f
