SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA12778,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239484/NA12778.final.cram,696060544,CEU,b03ae320c1a3b13c750d23d28a8dbc13
NA12890,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239490/NA12890.final.cram,720143520,CEU,7fc3c5b9735d74c19cc03786093534cb
NA18557,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239500/NA18557.final.cram,722526246,CHB,cb55f27757254463c9eda000761f91ed
NA20753,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239833/NA20753.final.cram,721885300,TSI,fac1ceba516ac43e3974d490a25d73de
NA20756,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239836/NA20756.final.cram,738864574,TSI,f4008a6feb206541ef1c3b038c0dfe6e
NA20769,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239849/NA20769.final.cram,762454410,TSI,e123811cbe6c1aeb0502abaa983f76fa
NA20772,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239852/NA20772.final.cram,658187270,TSI,8f7d85827093d5fba9e413107d5b68a4
HG00126,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240199/HG00126.final.cram,930909168,GBR,36643fd96dad15cb1792987e7f1e3471
NA18596,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239503/NA18596.final.cram,686877148,CHB,ea8d74f30ed15632087c3dbea122ba11
NA18619,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239516/NA18619.final.cram,747574242,CHB,c9f47e1d89681b60ec4026c5864c0e51
NA20785,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239858/NA20785.final.cram,869308510,TSI,5b7fe01dc7a453a4093f496b44b1f884
NA20787,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239860/NA20787.final.cram,783607320,TSI,2ac07f45b33024d499b09863dce564ac
HG00252,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240210/HG00252.final.cram,743854710,GBR,2239914f8a57f87b7f6b55aeb5d8a90d
NA18628,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239525/NA18628.final.cram,723885264,CHB,fa733764d3f2ae3e749f1b0953075341
NA18642,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239537/NA18642.final.cram,779782666,CHB,919be7a2017ee6920ef49a9fc8479f99
NA18645,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239539/NA18645.final.cram,739304234,CHB,06f1e1e868af19a9e9bfcac2b8803664
NA18745,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239542/NA18745.final.cram,737741432,CHB,c213a1864cc09e5ed742a98c6ce87271
NA18749,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239545/NA18749.final.cram,692774992,CHB,ecd0178a84ea341e8f3d36e31a89c8c8
NA20808,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239876/NA20808.final.cram,808881138,TSI,6a7f66e76f9e8413923ca6a86d7a9ef8
NA20814,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239882/NA20814.final.cram,759247810,TSI,fd04766048c91030d54ba309bd0b909d
NA19648,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239894/NA19648.final.cram,755852262,MXL,d7ce3e6a5230ba4dd0d67740f34f90de
